,0,1,2,3,4,5
2004/05,0.04767375,0.066331049,0.096612727,0.129311359,0.16,0.163
2005/06,0.04767375,0.066331049,0.096612727,0.129311359,0.16,0.163
2006/07,0.055224434,0.072672609,0.085958889,0.129311359,0.16,0.163
2007/08,0.050694622,0.078156727,0.099595882,0.135180909,0.16,0.163
2008/09,0.053475476,0.064696383,0.08937974,0.139477333,0.16,0.163
2009/10,0.047011373,0.069153198,0.088845526,0.1332,0.16,0.163
2010/11,0.042853043,0.068566723,0.109771875,0.129311359,0.16,0.163
2011/12,0.04223,0.065332913,0.102776818,0.1329375,0.16,0.163
2012/13,0.039863333,0.060920825,0.086323759,0.105761053,0.16,0.163
2013/14,0.039863333,0.060920825,0.086323759,0.105761053,0.16,0.163
2014/15,0.039863333,0.060920825,0.086323759,0.105761053,0.16,0.163
2015/16,0.039863333,0.060920825,0.086323759,0.105761053,0.16,0.163
2016/17,0.039863333,0.060920825,0.086323759,0.105761053,0.16,0.163
2017/18,0.039863333,0.060920825,0.086323759,0.105761053,0.16,0.163
2018/19,0.039863333,0.060920825,0.086323759,0.105761053,0.16,0.163
