"","Year","EstRec","X95CI.LowBound","X95CI.HighBound"
"rec6",2004,1538218.94809697,1284262.94061488,1886262.29069437
"rec7",2005,1135038.42684371,938503.168954051,1407515.11667538
"rec8",2006,1021149.75349137,829926.787870049,1289641.38134149
"rec9",2007,1665808.9400587,1330535.6690377,2140659.6016472
"rec10",2008,2975340.9432174,2290317.38524647,3964304.66072595
"rec11",2009,1966956.41186776,1475809.72115128,2683189.5529636
"rec12",2010,1810284.80940993,1335398.17298425,2518712.46276846
"rec13",2011,1674076.1364678,1235900.22025341,2328483.49588184
"rec14",2012,2197349.59070792,1631920.43268515,3041101.85386846
"rec15",2013,2758799.17387851,2071860.66861185,3782277.02086585
"rec16",2014,2063265.8602983,1296270.15006802,3711595.69228688
